DRINKING WATER,ISO3,Year,"Population 
(thousands)",% urban,RURAL,,,,,URBAN,,,,,TOTAL,,,,,RURAL,,,,,,,URBAN,,,,,,,TOTAL,,,,,,,,,,,
"COUNTRY, AREA OR TERRITORY",,,,,,,,,,,,,,,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,,,,,
Malawi,MWI,2022,   20 405,18,69,23,6,2,0.93,86,10,4,<1,0.01,72,21,5,2,0.82,10,10,80,37,0.38,8,84,52,52,70,67,0.72,77,19,18,18,78,42,0.49,21,72,2852,Sub-Saharan Africa,AFR,Eastern and Southern Africa,Sub-Saharan Africa
Malaysia,MYS,2000,   22 945,62,93,<1,4,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,85,-,-,-,83,10,-,97,-,-,-,98,1,93,93,-,97,0.06,93,5,2853,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2001,   23 543,63,93,<1,4,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,85,-,-,-,83,10,-,97,-,-,-,98,1,93,93,-,97,0.06,93,4,2854,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2002,   24 142,64,93,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,85,-,-,-,83,10,-,97,-,-,-,98,1,93,93,-,97,0.06,93,4,2855,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2003,   24 739,65,93,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,84,-,-,-,83,10,-,97,-,-,-,98,1,93,93,-,97,0.06,93,4,2856,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2004,   25 333,66,93,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,84,-,-,-,83,10,-,97,-,-,-,98,1,93,93,-,97,0.06,93,4,2857,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2005,   25 924,67,92,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,84,-,-,-,83,10,-,97,-,-,-,99,1,93,93,-,97,0.06,93,4,2858,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2006,   26 509,67,92,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,84,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,4,2859,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2007,   27 093,68,92,<1,5,2,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,<1,0.01,-,84,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,4,2860,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2008,   27 664,69,92,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,84,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,3,2861,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2009,   28 217,70,92,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,84,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,3,2862,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2010,   28 718,71,92,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,84,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,3,2863,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2011,   29 184,72,91,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,3,2864,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2012,   29 660,72,91,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,94,3,2865,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2013,   30 135,73,91,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,9,-,97,-,-,-,99,<1,93,93,-,97,0.06,95,3,2866,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2014,   30 606,74,91,<1,8,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,9,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,3,2867,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2015,   31 069,74,91,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,3,2868,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2016,   31 526,75,91,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,3,2869,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2017,   31 976,75,91,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,83,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,2,2870,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2018,   32 399,76,90,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,82,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,2,2871,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2019,   32 804,77,90,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,82,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,2,2872,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2020,   33 200,77,90,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,82,-,-,-,83,8,-,97,-,-,-,99,<1,94,94,-,97,0.06,95,2,2873,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2021,   33 574,78,90,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,3,-,0.01,-,82,-,-,-,83,8,-,97,-,-,-,>99,<1,94,94,-,97,0.06,95,2,2874,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Malaysia,MYS,2022,   33 938,78,90,<1,9,-,-0.13,>99,<1,<1,<1,-0.01,97,<1,2,-,0.01,-,82,-,-,-,83,8,-,97,-,-,-,>99,<1,94,94,-,98,0.06,96,2,2875,Eastern and South-Eastern Asia,WPR,East Asia and Pacific,East Asia and Pacific
Maldives,MDV,2000,      283,28,92,<1,7,<1,0.35,98,<1,2,<1,0.06,94,<1,6,<1,0.26,-,88,62,-,-,3,90,-,97,86,-,-,75,23,-,90,69,-,-,23,71,2876,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2001,      287,29,93,<1,7,<1,0.35,98,<1,2,<1,0.06,94,<1,6,<1,0.26,-,88,63,-,-,3,90,-,97,86,-,-,77,21,-,91,69,-,-,25,70,2877,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2002,      292,30,93,<1,7,<1,0.35,98,<1,2,<1,0.06,95,<1,5,<1,0.26,-,89,63,-,-,4,89,-,97,86,-,-,78,20,-,91,70,-,-,26,68,2878,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2003,      297,31,94,<1,6,<1,0.35,98,<1,2,<1,0.06,95,<1,5,<1,0.26,-,89,63,-,-,5,89,-,97,86,-,-,79,19,-,92,70,-,-,28,67,2879,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2004,      302,32,94,<1,6,<1,0.35,98,<1,2,<1,0.06,95,<1,4,<1,0.26,-,89,64,-,-,6,89,-,98,86,-,-,81,17,-,92,71,-,-,30,65,2880,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2005,      307,34,94,<1,5,<1,0.35,98,<1,2,<1,0.06,96,<1,4,<1,0.26,-,90,64,-,-,7,88,-,98,86,-,-,82,16,-,92,71,-,-,32,64,2881,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2006,      314,35,95,<1,5,<1,0.35,98,<1,2,<1,0.06,96,<1,4,<1,0.26,-,90,64,-,-,7,88,-,98,86,-,-,84,15,-,93,72,-,-,34,62,2882,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2007,      325,35,95,<1,4,<1,0.35,98,<1,2,<1,0.06,96,<1,3,<1,0.26,-,91,64,-,-,8,87,-,98,86,-,-,85,13,-,93,72,-,-,35,61,2883,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2008,      337,36,96,<1,4,<1,0.35,98,<1,2,<1,0.06,97,<1,3,<1,0.26,-,91,65,-,-,9,87,-,98,86,-,-,87,12,-,94,72,-,-,37,60,2884,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2009,      349,36,96,<1,4,<1,0.35,98,<1,2,<1,0.06,97,<1,3,<1,0.26,-,92,65,-,-,10,87,-,98,86,-,-,88,10,-,94,73,-,-,38,59,2885,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2010,      362,36,97,<1,3,<1,0.35,98,<1,2,<1,0.06,97,<1,3,<1,0.26,-,92,65,-,-,11,86,-,98,86,-,-,89,9,-,94,73,-,-,39,58,2886,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2011,      374,37,97,<1,3,<1,0.35,98,<1,1,<1,0.06,98,<1,2,<1,0.26,-,93,66,-,-,11,86,-,98,86,-,-,91,8,-,95,73,-,-,41,57,2887,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2012,      388,37,98,<1,2,<1,0.35,99,<1,1,<1,0.06,98,<1,2,<1,0.26,-,93,66,-,-,12,86,-,98,86,-,-,92,6,-,95,73,-,-,42,56,2888,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2013,      401,38,98,<1,2,<1,0.35,99,<1,1,<1,0.06,98,<1,2,<1,0.26,-,94,66,-,-,13,85,-,98,86,-,-,94,5,-,96,74,-,-,43,55,2889,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2014,      417,38,98,<1,1,<1,0.35,99,<1,1,<1,0.06,99,<1,1,<1,0.26,-,95,67,-,-,14,85,-,98,86,-,-,95,4,-,96,74,-,-,45,54,2890,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2015,      436,39,99,<1,<1,<1,0.35,99,<1,1,<1,0.06,99,<1,1,<1,0.26,-,95,67,-,-,14,85,-,99,86,-,-,97,2,-,96,74,-,-,46,53,2891,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2016,      454,39,>99,<1,<1,<1,0.35,99,<1,1,<1,0.06,>99,<1,<1,<1,0.26,-,96,67,-,-,15,84,-,99,86,-,-,98,<1,-,97,75,-,-,47,52,2892,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2017,      472,39,>99,<1,<1,<1,0.35,99,<1,1,<1,0.06,>99,<1,<1,<1,0.26,-,96,67,-,-,16,84,-,99,86,-,-,99,<1,-,97,75,-,-,49,51,2893,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2018,      490,40,>99,<1,<1,<1,0.35,99,<1,1,<1,0.06,>99,<1,<1,<1,0.26,-,96,67,-,-,17,83,-,99,86,-,-,99,<1,-,97,75,-,-,49,50,2894,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2019,      505,40,>99,<1,<1,<1,0.35,99,<1,1,<1,0.06,>99,<1,<1,<1,0.26,-,97,67,-,-,18,82,-,99,86,-,-,99,<1,-,98,75,-,-,50,49,2895,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2020,      514,41,>99,<1,<1,<1,0.35,99,<1,1,<1,0.06,>99,<1,<1,<1,0.26,-,97,67,-,-,18,82,-,99,87,-,-,99,<1,-,98,75,-,-,51,48,2896,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2021,      521,41,>99,<1,<1,<1,0.35,>99,<1,<1,<1,0.06,>99,<1,<1,<1,0.26,-,97,67,-,-,19,81,-,>99,87,-,-,>99,<1,-,98,75,-,-,52,48,2897,Central and Southern Asia,SEAR,South Asia,South Asia
Maldives,MDV,2022,      524,42,>99,<1,<1,<1,0.35,>99,<1,<1,<1,0.06,>99,<1,<1,<1,0.26,-,97,67,-,-,19,81,-,>99,87,-,-,>99,<1,-,98,75,-,-,52,47,2898,Central and Southern Asia,SEAR,South Asia,South Asia
Mali,MLI,2000,   11 239,28,39,5,50,6,1.61,77,3,18,1,0.79,50,4,41,5,1.54,-,11,35,-,-,5,39,-,40,68,-,-,62,19,-,19,44,-,-,21,33,2899,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2001,   11 584,29,40,5,49,6,1.61,78,3,17,1,0.79,51,5,40,5,1.54,-,12,36,-,-,6,40,-,40,69,-,-,63,19,-,20,45,-,-,22,34,2900,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2002,   11 953,30,42,5,47,6,1.61,79,3,17,1,0.79,53,5,38,4,1.54,-,12,37,-,-,7,40,-,41,69,-,-,64,19,-,21,46,-,-,24,34,2901,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2003,   12 342,31,44,5,46,5,1.61,80,4,16,1,0.79,55,5,37,4,1.54,-,13,38,-,-,8,41,-,41,70,-,-,64,19,-,21,47,-,-,25,34,2902,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2004,   12 752,31,45,5,44,5,1.61,80,4,15,<1,0.79,56,5,35,4,1.54,-,13,39,-,-,9,41,-,42,70,-,-,65,19,-,22,49,-,-,27,34,2903,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2005,   13 181,32,47,5,43,5,1.61,81,4,14,<1,0.79,58,5,34,4,1.54,-,13,40,-,-,10,42,-,42,71,-,-,66,18,-,23,50,-,-,28,34,2904,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2006,   13 624,33,48,5,42,5,1.61,82,4,13,<1,0.79,59,5,32,4,1.54,-,14,41,-,-,11,43,-,43,71,-,-,67,18,-,23,51,-,-,29,35,2905,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2007,   14 081,34,50,5,40,5,1.61,83,4,13,<1,0.79,61,5,31,3,1.54,-,14,41,-,-,12,43,-,43,72,-,-,68,18,-,24,52,-,-,31,35,2906,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2008,   14 551,34,51,5,39,4,1.61,84,4,12,<1,0.79,62,5,30,3,1.54,-,15,42,-,-,13,44,-,43,72,-,-,69,18,-,25,53,-,-,32,35,2907,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2009,   15 033,35,53,5,38,4,1.61,84,4,11,<1,0.79,64,5,28,3,1.54,-,15,43,-,-,14,44,-,44,72,-,-,70,18,-,25,53,-,-,34,35,2908,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2010,   15 529,36,55,5,36,4,1.61,85,4,10,<1,0.79,66,5,27,3,1.54,-,15,44,-,-,15,45,-,44,73,-,-,71,18,-,26,54,-,-,35,35,2909,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2011,   16 040,37,56,5,35,4,1.61,86,4,9,<1,0.79,67,5,25,3,1.54,-,16,45,-,-,16,45,-,45,73,-,-,72,18,-,26,55,-,-,37,35,2910,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2012,   16 515,38,58,5,34,3,1.61,87,4,9,<1,0.79,69,5,24,2,1.54,-,16,46,-,-,17,46,-,47,74,-,-,73,18,-,28,56,-,-,38,35,2911,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2013,   17 004,38,59,5,32,3,1.61,88,4,8,<1,0.79,70,5,23,2,1.54,-,16,46,-,-,18,46,-,49,74,-,-,74,18,-,29,57,-,-,40,35,2912,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2014,   17 552,39,61,5,31,3,1.61,88,4,7,<1,0.79,72,5,21,2,1.54,-,16,47,-,-,19,47,-,51,75,-,-,75,18,-,30,58,-,-,41,35,2913,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2015,   18 113,40,63,5,29,3,1.61,89,4,6,<1,0.79,73,5,20,2,1.54,-,16,48,-,-,20,48,-,54,75,-,-,76,17,-,31,59,-,-,43,36,2914,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2016,   18 700,41,64,5,28,3,1.61,90,4,5,<1,0.79,75,5,19,2,1.54,-,16,49,-,-,21,48,-,56,75,-,-,77,17,-,33,60,-,-,44,36,2915,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2017,   19 311,42,66,5,27,2,1.61,91,4,5,<1,0.79,76,5,17,1,1.54,-,16,49,-,-,22,49,-,58,76,-,-,78,17,-,34,60,-,-,45,36,2916,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2018,   19 934,42,68,5,25,2,1.61,92,5,4,<1,0.79,78,5,16,1,1.54,-,17,50,-,-,23,49,-,61,76,-,-,79,17,-,35,61,-,-,47,36,2917,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2019,   20 567,43,69,5,24,2,1.61,92,5,3,<1,0.79,79,5,15,1,1.54,-,17,51,-,-,24,50,-,63,77,-,-,80,17,-,37,62,-,-,48,36,2918,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2020,   21 224,44,71,5,23,2,1.61,93,5,2,<1,0.79,81,5,14,<1,1.54,-,17,52,-,-,25,50,-,66,77,-,-,81,17,-,38,63,-,-,50,36,2919,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2021,   21 905,45,73,5,21,1,1.61,94,5,1,<1,0.79,82,5,12,<1,1.54,-,17,53,-,-,26,51,-,68,78,-,-,82,17,-,40,64,-,-,51,36,2920,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Mali,MLI,2022,   22 594,45,74,4,20,1,1.61,95,5,<1,<1,0.79,84,5,11,<1,1.54,-,17,54,-,-,27,51,-,71,78,-,-,83,17,-,41,65,-,-,53,36,2921,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Malta,MLT,2000,      399,92,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2922,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2001,      402,93,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2923,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2002,      405,93,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2924,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2003,      407,93,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2925,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2004,      409,93,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2926,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2005,      410,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2927,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2006,      411,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2928,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2007,      412,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2929,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2008,      413,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2930,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2009,      416,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2931,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2010,      419,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2932,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2011,      424,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2933,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2012,      430,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2934,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2013,      438,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2935,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2014,      446,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2936,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2015,      457,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2937,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2016,      468,94,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2938,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2017,      479,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2939,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2018,      492,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2940,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2019,      504,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2941,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2020,      515,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2942,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2021,      527,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2943,Europe and Northern America,EUR,,Europe and Central Asia
Malta,MLT,2022,      533,95,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,-,-,-,>99,<1,-,>99,>99,-,-,>99,<1,>99,>99,-,>99,-0.01,>99,<1,2944,Europe and Northern America,EUR,,Europe and Central Asia
Marshall Islands,MHL,2000,       54,69,95,5,<1,<1,-0.34,-,-,-,-,-,-,-,-,-,-,-,89,-,-,-,<1,>99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2945,Oceania,WPR,East Asia and Pacific,East Asia and Pacific
Marshall Islands,MHL,2001,       54,69,95,5,<1,<1,-0.34,86,13,<1,<1,-,89,11,<1,<1,-,-,89,-,-,-,<1,>99,-,81,-,-,-,27,73,-,84,66,-,-,18,81,2946,Oceania,WPR,East Asia and Pacific,East Asia and Pacific
Marshall Islands,MHL,2002,       54,70,95,5,<1,<1,-0.34,86,13,<1,<1,-,89,11,<1,<1,-,-,89,-,-,-,<1,>99,-,81,-,-,-,27,73,-,83,66,-,-,19,81,2947,Oceania,WPR,East Asia and Pacific,East Asia and Pacific
Marshall Islands,MHL,2003,       54,70,95,5,<1,<1,-0.34,86,13,<1,<1,-,89,11,<1,<1,-,-,89,-,-,-,<1,>99,-,81,-,-,-,27,73,-,83,66,-,-,19,81,2948,Oceania,WPR,East Asia and Pacific,East Asia and Pacific
